"filename", "language", "Python", "Markdown", "XML", "comment", "blank", "total"
"/Users/rainchen/CodingSpace/ato/.idea/ato.iml", "XML", 0, 0, 10, 0, 0, 10
"/Users/rainchen/CodingSpace/ato/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 0, 6, 0, 0, 6
"/Users/rainchen/CodingSpace/ato/.idea/misc.xml", "XML", 0, 0, 4, 0, 0, 4
"/Users/rainchen/CodingSpace/ato/.idea/modules.xml", "XML", 0, 0, 8, 0, 0, 8
"/Users/rainchen/CodingSpace/ato/.idea/other.xml", "XML", 0, 0, 6, 0, 0, 6
"/Users/rainchen/CodingSpace/ato/.idea/vcs.xml", "XML", 0, 0, 6, 0, 0, 6
"/Users/rainchen/CodingSpace/ato/README.md", "Markdown", 0, 24, 0, 0, 22, 46
"/Users/rainchen/CodingSpace/ato/main.py", "Python", 19, 0, 0, 8, 3, 30
"/Users/rainchen/CodingSpace/ato/src/basic.py", "Python", 11, 0, 0, 2, 3, 16
"/Users/rainchen/CodingSpace/ato/src/function.py", "Python", 71, 0, 0, 18, 7, 96
"Total", "-", 101, 24, 40, 28, 35, 228
